City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,palangkaraya,-2.2,113.8333,308.95,45,78,0.48,ID,1710824535
259,amungan,15.3652,119.9582,301.73,66,46,5.19,PH,1710824535
260,la passe,45.5549,-0.8967,282.58,90,93,1.89,FR,1710824536
261,hawaiian paradise park,19.5933,-154.9731,294.28,88,95,0.45,US,1710824536
262,taroa,8.7058,171.2275,300.43,79,93,7.92,MH,1710824537
263,gassol,8.5333,10.4667,299.15,17,92,2.47,NG,1710824537
264,ar ruways,24.1103,52.7306,298.5,48,91,5.9,AE,1710824538
265,kidal,18.4411,1.4078,292.02,16,2,5.55,ML,1710824443
266,bom jesus,-9.0744,-44.3586,297.44,81,43,0.89,BR,1710824162
267,sandnessjoen,66.0217,12.6316,275.21,51,0,2.57,NO,1710824539
268,loango,-4.6719,11.8312,300.16,88,77,2.09,CG,1710824539
269,ajjampur,13.7281,76.0094,304.26,25,17,1.0,IN,1710824540
270,ylitornio,66.3089,23.6773,264.91,91,35,3.26,FI,1710824540
271,latnaya,51.6586,38.9011,276.11,97,100,2.67,RU,1710824541
272,taguatinga,-12.3857,-46.5711,297.02,82,53,0.27,BR,1710824542
273,kavieng,-2.5744,150.7967,299.16,88,100,6.71,PG,1710824542
274,nouadhibou,20.931,-17.0347,291.14,88,20,7.2,MR,1710824543
275,tonsberg,59.2675,10.4076,274.97,85,100,1.54,NO,1710824543
276,carbonear,47.7332,-53.2148,274.4,94,78,6.1,CA,1710824543
277,yangambi,0.8102,24.4336,295.49,92,39,0.22,CD,1710824544
278,malango,-2.9627,119.9001,300.32,75,95,1.22,ID,1710824544
279,mount isa,-20.7333,139.5,303.02,62,75,7.2,AU,1710824545
280,palu,-0.8917,119.8707,304.39,69,97,2.06,ID,1710824545
281,sur,22.5667,59.5289,300.66,51,42,3.56,OM,1710824545
282,flitwick,52.0034,-0.4947,284.27,86,100,5.14,GB,1710824546
283,alofi,-19.0595,-169.9187,302.09,84,75,3.09,NU,1710824546
284,salinopolis,-0.6136,-47.3561,298.86,91,100,3.82,BR,1710824547
285,ribeira brava,32.65,-17.0667,290.77,77,94,1.72,PT,1710824547
286,tongchuanshi,35.0806,109.0897,286.71,18,0,2.51,CN,1710824547
287,szprotawa,51.5656,15.5366,269.44,81,24,2.2,PL,1710824548
288,sanctuary point,-35.1114,150.629,300.0,70,7,6.44,AU,1710824549
289,port saint john's,-31.6229,29.5448,293.44,83,21,2.12,ZA,1710824549
290,zhabinka,52.1984,24.0115,274.13,86,100,4.0,BY,1710824549
291,kalevala,65.2,31.1667,266.53,81,66,4.92,RU,1710824550
292,yamba,-5.9,22.3,294.91,89,75,1.68,CD,1710824550
293,westport,41.1415,-73.3579,276.9,56,0,3.6,US,1710824551
294,mhamid,29.82,-5.72,291.08,21,0,1.54,MA,1710824551
295,fuglafjordur,62.244,-6.814,281.41,91,100,14.63,FO,1710824551
296,bonthe,7.5264,-12.505,299.03,94,36,2.64,SL,1710824552
297,argo,37.6333,22.7333,284.7,78,100,1.71,GR,1710824463
298,zheleznodorozhnyy,55.7503,38.0042,274.44,100,100,1.79,RU,1710824552
299,altdorf,49.3875,11.3572,277.94,90,98,0.19,DE,1710824553
300,mek'ele,13.4967,39.4753,293.08,41,37,1.84,ET,1710824553
301,nabire,-3.3667,135.4833,304.13,64,94,3.27,ID,1710824554
302,dunedin,-45.8742,170.5036,284.47,69,52,5.45,NZ,1710824362
303,summit,41.1167,-81.5332,273.31,86,100,3.6,US,1710824439
304,coquimbo,-29.9533,-71.3436,287.0,100,40,2.06,CL,1710824419
305,afsin,38.2477,36.914,277.55,96,100,0.18,TR,1710824555
306,nova sintra,14.8667,-24.7167,292.58,79,71,11.14,CV,1710824555
307,acapetahua,15.2833,-92.7,298.66,78,70,1.44,MX,1710824556
308,cole harbour,44.6724,-63.4751,274.86,83,35,1.34,CA,1710824556
309,reggane,26.7158,0.1714,293.38,17,44,4.81,DZ,1710824556
310,anadyr,64.75,177.4833,250.43,69,0,5.0,RU,1710824557
311,bam,29.106,58.357,298.71,24,100,2.35,IR,1710824495
312,pailon,-17.65,-62.75,298.65,69,36,4.9,BO,1710824557
313,salto,-31.3833,-57.9667,296.97,94,74,0.45,UY,1710824182
314,mulayjah,27.271,48.4242,299.25,47,100,6.98,SA,1710824557
315,gwadabawa,13.3561,5.2366,292.63,15,0,5.57,NG,1710824558
316,lazaro cardenas,17.9583,-102.2,295.43,89,43,0.1,MX,1710824558
317,kayangel,8.0823,134.7173,300.64,82,88,7.08,PW,1710824558
318,kupang,-10.1667,123.5833,305.47,74,40,6.17,ID,1710824558
319,boa vista,2.8197,-60.6733,302.14,61,0,4.63,BR,1710824481
320,waingapu,-9.6567,120.2641,302.76,75,31,3.89,ID,1710824558
321,san juan de miraflores,-12.1629,-76.9635,297.69,78,100,2.29,PE,1710824559
322,santa isabel,-23.3156,-46.2214,296.76,98,98,0.36,BR,1710824559
323,kone,-21.0595,164.8658,302.16,74,56,3.77,NC,1710824560
324,port lincoln,-34.7333,135.8667,290.81,70,100,9.07,AU,1710824560
325,sinabang,2.4803,96.3801,302.77,67,28,2.0,ID,1710824560
326,baran,25.1,76.5167,302.16,10,0,1.3,IN,1710824561
